CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks
6.7,1,1,0,75,3.7,0,0,58,66
8.4,1,3,0,90,4.6,1,1,78,87
7.0,1,2,0,69,4.7,0,1,57,65
6.6,1,2,0,88,4.0,0,0,78,67
6.7,1,1,0,74,3.5,0,0,65,62
8.2,2,3,2,90,4.8,1,1,89,87
7.6,1,1,0,81,4.0,0,0,55,70
8.3,2,2,0,78,4.1,0,1,60,83
7.5,1,2,1,67,3.8,0,1,55,68
8.4,0,3,0,90,4.8,1,1,77,84
7.5,1,1,1,81,4.0,0,0,56,63
6.5,1,2,1,68,4.3,1,1,73,74
7.8,2,3,0,79,4.3,1,0,87,87
7.5,1,2,0,83,4.3,0,1,56,66
6.6,1,1,1,66,4.2,0,1,58,68
7.6,1,3,2,90,4.8,1,1,85,80
7.5,1,1,1,62,4.3,0,0,60,61
8.4,2,3,2,83,4.7,1,1,77,78
8.0,1,3,0,80,4.4,1,1,85,84
8.1,1,2,2,74,4.4,1,1,79,86
6.7,0,2,0,75,4.2,0,1,55,64
7.8,2,3,2,84,4.4,1,0,87,80
7.8,1,1,1,67,3.5,0,0,60,70
6.5,0,3,1,75,4.3,0,0,69,62
8.1,1,3,0,90,4.8,1,1,83,83
7.4,1,1,1,73,3.6,0,1,62,63
6.5,1,2,0,84,4.6,1,1,57,66
8.3,1,3,2,90,4.8,1,1,80,86
7.6,1,2,1,81,4.4,1,1,75,88
7.4,1,2,1,78,4.4,0,1,81,68
7.5,0,2,1,82,4.2,1,1,80,85
8.5,2,3,1,84,4.4,1,1,87,84
6.5,1,3,3,84,4.5,0,1,76,72
7.3,1,1,0,65,4.0,0,1,63,70
7.7,1,1,1,67,3.9,0,0,55,66
6.5,1,2,0,63,4.3,0,0,82,82
7.9,1,3,1,82,4.3,1,1,76,81
8.0,2,2,2,87,3.8,1,1,79,78
6.7,1,1,1,73,4.0,0,1,62,65
8.4,0,1,1,78,3.8,1,0,64,68
8.0,1,3,2,87,4.8,1,1,70,85
8.3,2,1,0,80,4.7,1,1,84,86
6.5,1,2,0,71,4.4,0,0,55,61
7.5,1,2,2,68,4.0,1,1,69,68
7.4,2,1,0,61,3.9,0,0,63,68
7.8,1,2,1,84,4.7,1,0,80,78
7.9,1,2,1,87,4.4,1,0,58,83
8.2,2,3,2,87,4.7,1,1,86,71
8.7,1,3,0,90,4.2,1,1,71,68
8.4,1,3,2,90,4.8,1,1,72,85
6.6,1,1,0,83,4.4,0,0,55,62
8.6,2,3,1,88,4.8,1,1,71,83
7.8,1,1,1,79,3.7,0,1,56,59
7.7,1,2,0,90,4.8,0,1,64,69
8.5,1,1,1,81,4.5,1,1,70,62
7.2,1,1,1,74,3.9,0,1,57,69
8.2,2,2,2,73,4.6,1,1,83,87
7.5,1,1,2,78,4.3,1,0,58,70
6.6,2,2,0,85,3.7,1,1,58,72
6.6,0,3,0,86,4.8,0,0,79,66
8.4,0,3,3,85,4.8,1,1,63,69
7.8,1,3,2,88,4.6,1,0,76,81
8.8,2,3,0,88,4.7,0,1,58,87
7.3,1,1,0,65,4.6,1,1,62,74
7.6,2,2,0,77,4.5,0,1,69,65
8.1,0,2,1,79,4.4,0,0,68,66
7.6,1,1,0,74,4.2,0,1,61,61
7.2,1,2,0,69,4.0,0,1,55,61
8.6,0,1,0,66,4.4,0,1,56,72
8.2,1,2,2,81,4.8,1,1,75,87
8.1,1,3,2,85,4.7,1,1,68,88
7.9,2,1,1,80,4.7,1,1,85,84
8.4,2,1,0,90,4.4,1,1,72,82
7.8,1,1,1,76,3.8,0,1,55,66
8.3,2,3,0,84,3.9,1,1,55,86
7.7,1,1,0,67,4.4,0,1,81,73
8.2,1,2,2,78,4.1,1,1,70,82
8.2,1,1,2,82,4.8,1,1,78,82
7.5,1,3,0,78,3.6,0,1,72,84
8.6,1,2,2,90,4.8,1,1,80,87
8.5,1,3,0,84,4.7,1,1,58,85
6.5,0,3,2,84,4.4,1,1,68,72
7.1,1,1,3,83,4.2,1,1,82,86
7.3,1,2,0,69,3.7,0,1,55,68
7.7,1,2,2,75,4.6,1,0,68,73
7.6,1,1,0,78,3.6,1,1,56,69
8.0,1,1,1,70,4.6,0,1,58,63
7.2,1,2,0,60,4.6,0,0,58,63
6.6,0,1,1,77,4.3,1,1,82,66
8.0,1,3,2,83,4.7,1,1,55,73
7.5,2,3,0,88,4.6,1,1,72,86
7.6,1,2,1,83,4.6,1,1,86,64
8.9,2,2,0,90,4.8,1,1,72,87
7.4,1,2,0,71,3.9,0,1,63,70
6.5,0,2,1,69,3.8,0,0,63,62
8.5,2,3,2,90,4.8,1,1,85,86
7.4,1,1,0,71,3.3,0,0,55,66
6.6,0,2,1,67,4.2,0,1,55,66
6.5,1,2,1,72,4.0,1,1,68,76
8.6,1,3,0,90,4.8,1,1,87,81
8.0,2,3,2,89,4.6,1,1,80,87
8.5,1,3,2,90,4.7,1,1,80,80
8.0,1,1,0,90,4.5,1,1,69,74
7.5,1,2,0,64,3.8,0,0,55,67
8.3,2,3,2,90,4.8,1,1,72,84
7.8,1,3,0,81,4.3,0,0,64,70
6.5,1,3,1,83,4.8,1,1,78,69
8.2,1,2,2,77,4.4,1,1,75,81
8.4,1,3,2,90,4.8,1,1,80,78
8.2,0,1,1,68,3.8,1,0,79,83
7.8,2,2,2,81,4.5,1,1,85,57
8.5,2,3,2,85,4.4,1,1,74,83
7.4,1,1,0,80,4.8,0,1,64,73
7.4,1,1,2,86,4.6,1,0,88,86
7.6,1,1,1,75,3.6,0,1,59,62
8.6,1,3,2,90,4.8,1,1,85,87
7.6,1,1,2,73,4.2,1,0,64,76
6.6,1,2,0,77,4.1,0,1,72,69
7.3,1,1,1,88,4.1,0,0,55,68
6.5,1,1,1,62,3.9,0,0,57,70
8.0,2,3,0,90,4.8,1,1,80,69
7.8,1,2,0,81,4.1,0,1,55,79
8.2,1,3,1,69,3.8,0,1,55,85
7.4,1,1,0,85,4.7,1,1,70,72
8.8,2,3,2,88,4.7,1,1,73,82
8.1,1,3,2,78,4.7,1,1,75,88
7.8,1,2,0,72,4.4,1,1,55,69
8.4,1,3,1,83,4.2,1,1,85,81
7.5,1,1,1,80,4.1,0,1,55,65
8.0,1,2,0,83,4.6,1,1,60,83
7.9,1,1,2,74,3.5,0,0,88,72
8.6,2,2,2,81,4.8,1,1,78,81
7.5,1,2,2,86,3.6,0,0,74,86
8.5,1,3,2,88,4.8,1,1,72,83
8.5,1,1,1,71,3.8,0,1,63,87
6.5,0,1,1,67,3.1,0,0,61,61
6.9,0,2,1,82,4.2,1,1,73,86
8.4,2,3,2,90,4.8,1,1,84,83
6.6,1,1,1,75,3.9,1,1,63,69
6.8,1,1,0,68,3.1,0,0,55,68
7.9,2,3,2,88,4.6,1,0,79,79
7.3,1,3,0,84,4.6,1,0,61,66
7.7,1,1,0,78,4.3,0,0,56,67
8.1,2,2,2,90,4.5,1,1,73,82
7.6,1,1,0,75,3.6,0,1,55,68
8.6,1,2,3,75,4.5,1,1,56,85
6.6,2,1,0,67,3.9,0,0,55,74
8.7,2,3,2,90,4.3,1,1,84,86
8.4,1,3,2,85,4.6,1,1,75,67
8.3,2,3,2,89,4.4,1,1,66,84
7.6,1,3,0,77,4.3,1,1,70,83
8.5,1,0,2,70,4.2,1,0,63,67
7.8,1,2,0,72,3.6,1,1,60,64
8.0,2,3,3,76,4.1,1,1,78,61
6.5,0,2,0,78,4.3,1,1,73,71
7.6,1,2,1,84,4.4,0,1,68,70
8.4,1,1,1,82,4.3,1,1,60,82
7.3,1,1,1,68,3.3,0,1,55,67
8.4,2,3,2,90,4.1,1,1,76,82
7.8,1,2,1,70,3.9,0,1,58,70
6.5,0,2,0,80,4.2,0,0,57,71
7.5,0,1,1,75,4.3,0,0,80,82
7.3,1,2,1,79,3.8,0,1,58,73
8.3,1,1,1,76,4.2,0,1,65,62
8.0,1,2,0,81,4.2,1,1,66,72
7.8,0,2,0,79,4.5,1,0,80,81
8.3,0,3,2,81,4.6,1,1,80,75
8.3,0,1,2,81,4.4,1,1,76,81
8.4,2,3,2,90,4.8,1,1,74,88
8.3,1,1,2,78,4.5,1,1,78,88
6.5,1,1,0,73,4.1,0,1,55,66
8.7,1,2,0,74,4.8,0,0,74,83
8.6,0,3,1,77,4.8,1,1,82,83
6.5,1,2,0,78,4.3,0,0,55,67
8.2,2,3,2,90,4.8,1,1,79,88
8.0,2,1,0,74,4.1,0,1,80,67
7.4,0,1,0,70,3.2,0,1,55,57
8.4,2,2,2,85,4.8,1,0,72,82
7.9,1,3,3,80,4.1,1,1,71,84
6.5,1,1,1,60,4.2,0,0,57,60
7.9,1,3,0,82,4.6,1,1,76,82
8.5,2,2,2,90,4.4,1,1,70,84
8.0,1,3,0,86,4.2,1,1,73,88
8.1,0,2,0,75,4.3,1,1,60,72
6.5,1,1,1,78,4.1,0,1,55,62
7.5,1,1,1,82,4.6,0,1,59,74
7.1,1,1,1,72,4.3,0,1,55,65
7.6,1,3,0,80,4.8,1,1,71,85
8.2,2,1,0,87,4.8,1,1,74,85
6.7,0,1,1,78,4.3,0,0,60,66
8.1,1,1,1,79,4.5,0,0,62,67
7.3,2,2,1,76,3.8,0,1,55,72
8.8,1,3,2,90,4.8,1,1,75,82
8.4,0,1,2,89,4.8,1,1,62,87
6.5,0,2,0,75,4.3,0,1,82,70
7.6,1,2,0,71,4.5,0,1,55,64
8.3,2,3,2,70,4.2,1,1,82,68
7.8,1,2,0,77,4.2,0,1,79,70
6.5,1,2,0,79,4.5,0,1,55,67
7.0,1,2,0,74,4.2,0,1,55,69
6.8,1,2,1,76,3.8,0,1,59,69
8.5,2,2,2,90,4.7,1,1,73,69
6.7,1,2,0,74,4.0,0,1,56,66
8.6,1,2,0,75,3.9,1,1,76,61
7.5,1,2,0,82,3.7,0,0,73,84
8.2,2,2,1,74,4.2,0,1,76,69
7.7,2,2,0,86,4.0,1,1,79,64
8.2,2,3,2,90,4.8,1,0,85,78
8.3,2,3,2,90,4.8,1,1,68,82
8.7,2,2,2,90,4.7,1,1,76,85
8.0,0,3,2,79,4.6,1,0,82,82
6.8,1,1,1,85,3.9,1,0,71,62
7.4,1,3,2,73,4.1,1,1,86,78
8.5,2,3,2,90,4.5,1,1,82,85
6.6,1,1,0,70,4.6,1,0,55,69
6.5,1,1,1,63,4.5,0,0,59,69
7.6,0,1,0,71,3.9,0,0,55,63
6.5,1,1,0,63,4.5,0,1,57,68
7.4,0,1,0,79,3.8,0,0,55,67
7.0,1,1,0,79,4.3,0,0,55,70
7.5,2,2,2,90,4.2,1,1,70,87
7.6,1,1,0,74,4.1,0,1,55,64
7.5,2,2,1,90,4.2,1,1,82,74
7.5,1,1,0,74,4.7,0,0,55,64
7.0,1,1,1,78,4.7,0,0,55,69
8.5,2,3,2,84,4.0,1,1,72,80
6.5,0,1,0,64,4.1,0,0,63,70
7.9,1,1,0,66,4.5,0,0,63,62
7.8,0,3,1,90,3.8,0,1,55,71
7.2,0,1,0,73,3.7,0,0,55,62
7.4,0,1,1,63,3.5,0,0,56,68
6.6,1,2,0,83,4.0,0,1,58,70
7.4,1,1,1,72,4.6,1,1,77,83
7.4,1,2,0,77,4.5,0,1,66,86
8.4,1,1,2,81,4.6,1,1,70,70
8.3,2,3,2,90,4.8,1,1,86,85
8.1,2,3,2,83,4.5,1,1,83,82
8.9,2,3,2,90,4.8,1,1,79,87
8.8,1,3,2,88,4.7,1,1,75,84
7.5,0,2,0,74,4.0,0,1,68,65
8.3,2,3,2,90,4.8,1,1,62,84
8.3,2,3,2,90,4.7,1,1,63,87
8.1,2,3,2,77,4.5,1,1,84,68
7.5,1,2,0,65,3.5,0,0,55,63
7.5,2,1,1,80,4.3,0,1,72,64
8.3,2,1,2,79,4.2,1,1,58,87
7.7,1,1,2,76,4.4,0,0,66,68
7.2,1,2,1,79,3.2,0,0,57,72
6.5,1,1,1,75,3.9,0,0,58,66
8.5,1,3,2,89,4.8,1,1,82,83
8.0,1,1,1,80,4.2,0,1,74,68
8.0,2,2,2,89,4.2,1,1,82,84
6.7,0,2,1,79,3.3,0,0,73,69
8.6,2,3,2,90,4.8,1,1,75,88
6.7,1,1,1,66,3.4,0,1,59,68
7.8,0,3,0,78,4.4,0,0,74,79
8.3,2,3,0,90,4.8,1,1,78,83
6.6,1,3,0,86,4.4,0,0,60,65
6.6,0,1,0,70,4.3,0,0,63,64
6.5,0,2,0,79,3.6,0,1,72,70
6.5,1,1,0,88,3.9,0,0,69,67
7.6,1,2,0,75,4.8,0,0,61,69
7.8,1,2,0,80,4.8,1,1,86,83
9.0,0,3,2,86,4.8,1,1,79,86
7.5,1,3,2,78,4.6,1,1,74,84
7.5,2,2,0,72,4.5,1,1,72,70
7.8,0,1,1,77,4.8,0,1,73,67
6.5,1,1,1,83,4.1,0,1,81,66
7.0,1,1,1,64,4.1,0,0,58,62
7.4,1,2,0,85,4.6,0,0,55,63
7.5,1,2,0,64,3.4,0,1,55,68
8.3,1,3,0,84,4.4,1,1,82,80
8.3,2,3,2,88,4.8,1,1,66,83
6.5,0,3,0,80,4.5,0,1,79,64
6.5,1,1,1,68,4.1,0,1,78,68
8.2,0,3,2,90,4.8,1,1,79,80
7.6,1,1,0,69,3.9,0,1,64,62
7.3,1,2,0,70,3.8,0,0,55,70
7.5,1,1,0,71,4.1,0,1,66,74
7.7,1,2,0,71,4.4,0,1,59,74
8.4,2,3,2,84,4.8,0,1,73,71
8.0,2,3,3,84,4.0,1,1,75,60
7.6,1,1,0,71,3.9,0,1,55,60
6.5,1,2,0,86,4.4,1,1,66,69
8.0,0,1,0,60,4.0,0,0,57,70
7.5,1,1,1,77,4.4,1,0,70,67
8.3,2,3,2,90,4.5,1,1,87,86
7.7,0,2,0,81,4.2,0,1,75,60
8.4,2,3,1,88,4.6,1,1,74,82
7.5,1,2,1,60,3.4,1,1,78,84
7.7,1,1,1,80,4.1,1,0,55,69
8.2,2,2,2,70,4.2,1,0,56,71
8.6,1,3,0,87,4.7,1,1,81,88
7.0,1,1,0,68,3.9,0,1,64,65
8.2,2,3,2,90,4.8,1,1,74,85
7.4,1,1,0,74,4.4,1,1,71,81
8.2,1,2,1,79,4.4,1,1,83,65
8.2,0,3,0,86,4.3,1,0,78,72
8.5,1,1,2,88,4.5,1,1,76,79
8.1,0,1,0,83,4.2,1,1,71,83
6.7,1,1,0,80,3.5,0,0,57,62
7.6,0,1,0,75,4.0,0,0,67,68
7.7,1,2,1,69,3.3,1,1,68,68
8.2,2,3,2,87,4.8,1,1,72,88
8.2,0,3,2,75,4.6,1,1,85,62
7.8,0,1,1,79,4.7,1,1,82,75
7.6,1,2,2,82,4.8,1,1,64,80
7.6,1,2,1,67,4.5,1,0,61,66
8.6,1,3,2,90,4.8,1,1,70,88
6.7,0,1,0,74,4.1,1,1,60,64
7.7,0,2,1,75,4.8,0,1,72,68
7.4,1,1,0,63,3.8,0,1,62,70
7.6,1,1,0,66,3.2,0,0,55,63
7.5,1,1,0,75,3.7,0,0,57,66
6.5,1,1,0,78,4.4,0,1,66,74
7.6,1,3,3,78,4.7,1,0,86,74
8.4,1,1,1,70,3.8,1,1,55,67
6.7,1,1,1,72,4.2,0,1,55,63
8.3,1,3,2,80,4.1,1,1,76,83
7.5,1,1,0,70,3.7,0,1,55,72
8.0,2,3,2,87,4.5,1,1,71,85
7.3,0,1,0,75,4.7,1,1,67,72
7.6,0,1,0,81,4.4,1,1,84,83
7.7,0,1,1,90,4.3,1,1,75,75
